Products Name,Price in RM
LOTUSS DRINKING WATER 500ML,0.55
LOTUSS MINERAL WATER 600ML,0.65
DESA DRINKING WATER 500ML,0.75
LOTUSS DRINKING WATER 1.5L,0.95
LOTUSS MINERAL WATER 1.5L,1.09
MOMA WATER PREMIUM BLUE 500ML,1.10
DESA DRINKING WATER 1.5L,1.25
ALPINE NAT MINERAL WATER 600ML,1.25
JUS MASTER ASAM JAWA 320ML,1.29
JUS MASTER BLACKCURRANT 320ML,1.29
JUS MASTER CALAMANSI PLUM 320ML,1.29
SPRITZER MIN WTR 550ML,1.30
YEOS GRASS JELLY 300ML,1.45
MUNIRA GUAVA DRINK 170ML,1.49
MUNIRA MANGO DRINK 170ML,1.49
MUNIRA LYCHEE DRINK 170ML,1.49
MUNIRA BLACKCURRANT DRINK 170ML,1.49
MUNIRA APPLE DRINK 170ML,1.49
F&N SEASONS GRASS JELLY (CINCAU) 300ML,1.50
KICKAPOO JOY 320ML,1.55
100 PLUS ISOTONIC 325ML,1.65
COCA-COLA RASA ASLI CAN 320ML,1.70
F&N CLUB SODA WATER 325ML,1.75
FN GRAPE CAN 325ML,1.75
FN ICE CRM SODA 325ML,1.75
FN STRAWBERRY CAN 325ML,1.75
FN SARSI CAN 325ML,1.75
EVERVESS GINGER ALE 320ML,1.79
EVERVESS TONIC 320ML,1.79
EVERVESS SODA 320ML,1.79
FANTA ORANGE 500ML,1.80
FANTA STRAWBERRY 500ML,1.80
F&N ED TONIC CAN 325ML,1.90
FUZE TEA ICE LEMON TEA 500ML,1.95
FUZE TEA JASMINE GREEN TEA 500ML,1.95
OYOSHI LYCHEE GREEN TEA 380ML,1.95
OYOSHI ORIGINAL GREEN TEA 380ML,1.95
OYOSHI HONEY LEMON GREEN TEA 380ML,1.95
FUZE TEA ICE PASSION FRUIT TEA 500ML,1.95
OYOSHI LEMON BLACK TEA 380ML,1.95
APLINE NAT MINERAL WATER 1.5L,1.99
MINUTE MAID PUPLY TROPICAL 300ML,1.99
MINUTE MAID PUPLY ORANGE 300ML,1.99
NUTRIFRES AFDAL PATI LAICI 375ML,2.00
NUTRIFRES AFDAL PATI ANGGUR 375ML,2.00
NUTRIFRES AFDAL PATI ANGGUR 375ML,2.00
POWER ROOT EXTRA HONEY TONGKAT ALI 250ML,2.02
KARTA COCONUT WATER ORIGINAL 330ML,2.05
100 PLUS ISOTONIC 500ML,2.05
100 PLUS LEMON LIME 500ML,2.05
KICKAPOO JOY 500ML,2.10
SPRITZER SPARKLING MW LEMON 400ML,2.15
NUTRIFRES AFDAL PATI SARSI 375ML,2.15
NUTRIFRES AFDAL PATI OREN 375ML,2.15
NUTRIFRES AFDAL PATI ROSE 375ML,2.15
LIPTON ICE TEA LMN 450ML,2.15
SPRITE CAN 320ML,2.20
SOSRO APPLE TEA 500ML,2.24
SOSRO APPLE+BLACKCURRANT TEA 500ML,2.24
SOSRO BLACKCURRANT TEA 500ML,2.24
SOSRO STRAWBERRY TEA 500ML,2.24
SOSRO STRAWBERRY+GRAPE TEA 500ML,2.24
SOSRO LESS SUGAR TEA BOTOL 350ML,2.24
SOSRO ORIGINAL TEA BOTOL 350ML,2.24
AH HUAT HERBAL TEA 310ML,2.25
COKE VANILLA 320ML,2.30
MOMA WATER PREMIUM BLUE 1.5L,2.35
SPRITZER MINERAL WATER 1.25L,2.35
V-SOY ORIG SOYA BEAN 300ML,2.35
SPRITE 500ML,2.35
V-SOY MULTI GRAIN SOYBEAN MILK 300ML,2.35
FUZE TEA MANGO CHAMOMILE 500ML,2.39
A+W SARSAPARILLA BOTTLE 500ML,2.39
PER'L KACIP FATIMAH KOLAGEN KURMA 250ML,2.40
COCA-COLA RASA ASLI 500ML,2.45
F&N SEASONS SOYA BEAN 1L,2.50
SCHWEPPES GINGER ALE CAN 320ML,2.50
POKKA JASMINE G/TEA 500ML,2.50
COKE ZERO 500ML,2.50
7UP BTL 500ML,2.50
F&N SEASONS CHRYSTHEMUM DRINK 1L,2.50
SCHWEPPES SODA WATER CAN 320ML,2.50
SCHWEPPES TONIC WATER CAN 320ML,2.50
LIPTON ICE TEA GREEN LMN 450ML,2.55
ALICAFE TONGKAT ALI GINSENG ORI 250ML,2.59
ALPINE SPORT NATURAL MINERAL WATER 750ML,2.59
COOL RHINO 350ML,2.69
VITAMILK REGULAR SOYA BEAN 300ML,2.69
VITAMILK DOUBLE CHOC SOYA BEAN 300ML,2.69
MASTER KANG HONEY PAMELO 500ML,2.69
MASTER KANG JASMINE PAMELO TEA 500ML,2.69
MASTER KANG WTR CHESTNUT+SGR CANE 500ML,2.69
MASTER KANG HONEY PAMELO 500ML,2.69
MASTER KANG HONEY JASMINE TEA 500ML,2.69
MASTER KANG JASMINE TEA 500ML,2.69
MASTER KANG ICE LEMON TEA 500ML,2.69
MASTER KANG ROCK SUGAR PEAR 500ML,2.69
DRINHO CHRYSANTHEMUM TEA 1L,2.69
DRINHO SOYA BEAN 1L,2.69
DRINHO WINTER MELON 1L,2.69
DRINHO LYCHEE 1L,2.69
PRAN COCONUT WATER CAN 330ML,2.70
ATH AYATAKA GREEN TEA 500ML,2.70
ATH DA HONG PAO OOLONG TEA 500ML,2.70
RIBENA MOBILE REG 300ML,2.70
MARIGOLD EVAPORATED CREAMER 390G,2.79
PRAN COOLING TAMARIND 290ML,2.80
YEOS SOYA BEAN 1L,2.80
YEOS CHRYSANTHEMUM TEA 1L,2.80
POKKA OOLONG TEA 500ML,2.80
POKKA SENCHA 500ML,2.80
POKKA LMN TEA 500ML,2.80
FANTA ORANGE 1.5L,2.89
FANTA S/BERRY 1.5L,2.89
FANTA GRAPE 1.5L,2.89
A&W SARSAPARILLA BOTTLE DRINK 1.5L,2.89
SPRITE 1.5L,2.89
COCA COLA VANILLA 1.5L,2.89
COKE ZERO SUGAR 1.5L,2.89
SPRITE ZERO 1.5L,2.89
COCA COLA VANILLA 1.5L,2.89
COKE ZERO SUGAR 1.5L,2.89
COOL RHINO O2 350ML,2.90
POKKA JASMINE GREEN TEA 1L,2.90
LOTUSS SWEETENED CREAMER 500G,2.95
100PLUS ACTIVE REPLENISH 1L,2.95
RIBENA MOBILE JELLY REGULAR DRINKS 170G,2.95
LOTUSS KOPI-O WITH SUGAR 5SX15G,2.99
LOTUSS 3IN1 CHOCOMALT 3SX30G,2.99
LOTUSS TEH TARIK REGULAR 3SX35G,2.99
LOTUSS 3IN1 PREMIX COFFEE REGLR 5SX18G,2.99
LOTUSS KOPI-O WITHOUT SUGAR 5SX10G,2.99
HAITAI BON BON GRAPE CAN JUICE 238ML,2.99
CHA PAI LEMON PU ER TEA 500ML,2.99
CHA PAI OOLONG PEACH TEA 500ML,2.99
CHA PAI ICED LEMON TEA 500ML,2.99
CHA PAI GRAPE OOLONG TEA 500ML,2.99
CHA PAI JASMINE PAMELO TEA 500ML,2.99
CHA PAI PAMELO GREEN TEA 500ML,2.99
DONGA APPLE DEMISODA 250ML,2.99
DONGA LEMON DEMISODA 250ML,2.99
DONGA GRAPE DEMISODA 250ML,2.99
DONGA PEACH DEMISODA 250ML,2.99
UNIF ALL YOU NEED 100% VEGETABLE AND FRUIT JUICE WITH GREEN VEGETABLE 300ML,2.99
UNIF ALL YOU NEED 100% VEGETABLE AND FRUIT JUICE WITH BERRY 300ML,2.99
UNIF ALL YOU NEED 100% VEGETABLE AND FRUIT JUICE WITH TOMATO 300ML,2.99
LOTUSS EVAPORATED CREAMER 390G,2.99
GOLD COIN KOPI TEH TARIK SWEETENED CREAMER 500G,3.09
YEOS WINTER MELON TEA 1L,3.10
YEOS LYCHEE 1L,3.10
DAIRY CHAMP EVAPORATED CREAMER 390G,3.10
YEOS ICE TEA LEMON 1L,3.10
THREE LEGS COOLING WATER 500ML,3.10
SAJI EVAPORATED CREAMER 390G,3.10
YEOS JASMINE GREEN TEA PET1.5L,3.13
MIRINDA ORANGE BTL 1.5L,3.15
MIRINDA STRAWBERRY FLAVOURED SOFT DRINK BOTTLE 1.5L,3.15
100 PLUS LEMON LIME (C) PET 1.5L,3.19
PEPSI COLA 1.5L,3.19
7UP BOTTLE 1.5L,3.19
REVIVE REGULAR 1.5L,3.19
100PLUS ORIGINAL REDUCED SUGAR 1.5L,3.19
100 PLUS ISOTONIC ZERO 1.5L,3.19
100 PLUS ISOTONIC DRINK 1.5L,3.19
KICKAPOO JOY JUICE CARBONATED DRINK 1.5L,3.19
SAJI SWEETENED CREAMER 500G,3.20
DRINHO SOYA MILK CORN 1L,3.25
RIBENA PET REGULAR 450ML,3.25
HOMESOY SOYA MILK 1L,3.29
HOMESOY NO SUGAR ADDED 1L,3.29
HOMESOY HONEY MELON SOYA MILK 1L,3.29
HOMESOY BROWN SUGAR SOYA MILK 1L,3.29
7UP FREE 1.5L,3.39
NF SPRING JASMINE TEA 500ML,3.44
NF SPRING PU ER TEA 500ML,3.44
NF SPRING OOLONG TEA 500ML,3.44
FAMOUS HOUSE ORANGE JUICE 485ML,3.44
FAMOUS HOUSE GUAVA JUICE 500ML,3.44
FAMOUS HOUSE MIXED FRUIT JUICE 500ML,3.44
FAMOUS HOUSE MANGO JUICE 500ML,3.44
FAMOUS HOUSE PEACH JUICE 500ML,3.44
FAMOUS HOUSE GRAPE JUICE 500ML,3.44
LIVELY LEMON GUAR TEA 450ML MY,3.45
FN GRAPE 1.5L,3.45
FN FRUITADE 1.5L,3.45
FN ZAPPEL 1.5L,3.45
FN ICE CREAM SODA 1.5L,3.45
FN STRAWBERRY 1.5L,3.45
F&N OUTRAGEOUS ORANGE CARBONATED DRINK 1.5L,3.45
F&N SARSI CARBONATED DRINK 1.5L,3.45
AMEEN CORN 395ML,3.49
AMEEN ROSE 395ML,3.49
AMEEN LYCHEE 395ML,3.49
AMEEN GRAPE 395ML,3.49
AMEEN SARSI 395ML,3.49
DAIRY CHAMP SWEETENED CREAMER 500G,3.49
YEOS B.SUGAR SOY 1L,3.49
LIPTON POTBAGS EXTRA STRONG P20,3.49
GOLD COIN SWEETENED CREAMER 500G,3.49
MARIGOLD UHT APPLE DRINK 1L,3.50
MARIGOLD UHT MANGO DRINK 1L,3.50
MARIGOLD ORANGE DRINK 1L,3.50
OYOSHI ORIGINAL GREEN TEA 1L,3.65
OYOSHI HONEY LEMON GREEN TEA 1L,3.65
F&N EVAPORATED CREAMER 390G,3.69
PEPSI BLACK VANILLA 1.5L,3.70
PEPSI BLACK PET 1.5L,3.70
BLUE DIAMOND ALMOND CHOC MILK 180ML,3.74
BLUE DIAMOND ALMOND LATTE MILK 180ML,3.74
BLUE DIAMOND ALMOND MATCHA MILK 180ML,3.74
BLUE DIAMOND ALMOND ORIGINAL MILK 180ML,3.74
BLUE DIAMOND ALM UNSWTND ORI MILK 180ML,3.74
BLUE DIAMOND ALMOND VANILLA MILK 180ML,3.74
SUNKIST PISTACHIO UNSWTND MILK 180ML,3.74
SUNKIST PISTACHIO ORIGINAL MILK 180ML,3.74
SUNKIST PISTACHIO CHOCOLATE MILK 180ML,3.74
ICHITAN THAI BROWN SUGAR MILK 310ML,3.74
ICHITAN THAI MILK COFFEE 310ML,3.74
ICHITAN THAI MILK GREEN TEA 310ML,3.74
ICHITAN THAI MILK TEA 310ML,3.74
HATAKOSEN RAMUNE SODA-STRAWBERRY 200ML,3.74
HATAKOSEN RAMUNE SODA BLUEBERRY 200ML,3.74
HATAKOSEN RAMUNE SODA ORANGE 200ML,3.74
HATAKOSEN RAMUNE SODA L.MELON 200ML,3.74
HATAKOSEN RAMUNE SODA YUZU 200ML,3.74
HATAKOSEN RAMUNE SODA LYCHEE 200ML,3.74
CHUPA CHUPS GRAPE SPARKLING 345ML,3.74
CHUPA CHUPS ORANGE SPARKLING 345ML,3.74
CHUPA CHUPS STRAWBERRY SPARKLING 345ML,3.74
CARNATION EVAPORATION CREAMER 390G,3.75
MARIGOLD CHEF'S SELECTION EVAPORATED CREAMER 390G,3.79
VALUE KOPI CAMPURAN 250G,3.79
F&N SWEETENED CREAMER TEH TARIK 500G,3.79
PRAN BASIL SEED MANGO 290ML,3.80
PRAN BASIL SEED STRABERRY 290ML,3.80
PRAN BASIL SEED LYCHEE 290ML,3.80
SPRITZER SPARKLING CARBONATED NATURAL MINERAL WATER 1000ML,3.85
PEPSI BLACK LIME 1.5L,3.90
GLACEAU VIT. WATER ESSENTIAL 500ML,3.90
GLACEAU VIT. WATER RESTORE 500ML,3.90
GLACEAU VIT. WATER TRIPLE X 500ML,3.90
DOLE PINEAPPLE TROPICAL JUICE 240ML,3.90
DOLE PINEAPPLE MANGO JUICE 240ML,3.90
DOLE PINEAPPLE ORANGE JUICE 240ML,3.90
DOLE PINEAPPLE ORANGE BANANA JUICE 240ML,3.90
DOLE 100% PINEAPPLE JUICE 240ML,3.90
FN SWEETENED CREAMER HICAL 500G,3.90
MUG SARSAPARILLA PET 1.5L,3.90
SUNQUICK FRUIT DRINK ORANGE 5X125ML,3.95
SUNQUICK FRUIT DRINK BERRIES 5X125ML,3.95
SUNQUICK FRUIT DRINK APPLE 5X125ML,3.95
F&N SEASONS ICE LEMON TEA (A) PET 1.5L,3.95
GENKI FOREST SPKLG CALAMANSI JUC 480ML,3.97
GENKI FOREST SPARKLING PEACH JUC 480ML,3.97
GENKI FOREST SPARKLING LYCHEE JUC 480ML,3.97
GENKI FRST SPARKLING BLK GRAPE JUC 480ML,3.97
FAMOUS HOUSE BANANA MILK 500ML,3.97
FAMOUS HOUSE MANGO MILK 500ML,3.97
FAMOUS HOUSE PAPAYA MILK 500ML,3.97
LOTUSS TEA POT BAG 40SX2G,3.99
LOTUSS TEA POT BAG KAW 28SX3G,3.99
LOTUSS CHOCOMALT 200G,3.99
FN VITAMINISED SWEETENED CREAMER 500G,3.99
LOTUSS FULL CREAM MILK UHT 125MLX4,3.99
LOTUSS CHOCOLATE MILK UHT 125MLX4,3.99
KAPAL API (HALUS) 180G,3.99
KAPAL API INSTANT COFFEE (KASAR) 180G,3.99
MINUTE MAID PULPY TROPICAL 1.5L,4.10
MINUTE MAID PUPLY ORANGE 1.5L,4.10
POKKA PREMIUM MILK COFFEE 500ML,4.20
POKKA PREMIUM MILK CAPPUCCINO 500ML,4.20
POKKA PREMIUM MILK TEA 500ML,4.20
MOUNTAIN DEW PITCH BLACK 1.5L,4.20
MOUNTAIN DEW 1.5L,4.20
HANG TUAH SERBUK KOPI CAMPURAN(H)200G,4.40
HANG TUAH SERBUK KOPI CAMPURAN(B)200G,4.40
NESCAFE 3IN1 ORI 5X18G,4.59
LIPTON ICE TEA LMN 1.5L,4.60
NESCAFE LATTE CARAMEL 5X25G,4.65
HOMESOY NO SUGAR ADDED 3.0 946ML,4.69
ATH AYATAKA GREEN TEA 1.5L,4.69
FUZE TEA ICE G/TEA JASMINE 1.5L,4.69
FUZE TEA ICE PASSION FRUIT TEA 1.5L,4.69
FUZE TEA ICE LEMON TEA 1.5L,4.69
WALKER'S SPARKLING SODA LYCHEE 0% 290ML,4.70
WALKER'S SPARKLING SODA LYCHEE 0% 290ML,4.70
WALKER'S SPARKLING SODA PASSION FRUIT 0% 290ML,4.70
WALKER'S GINGER BEVERAGE 250ML,4.70
MILO UHT MILK 125MLX4,4.75
YEOS CHRYSANTHEMUM TEA 1.5L,4.85
YEOS LYCHEE 1.5L,4.85
YEOS WINTER MELON 1.5L,4.85
YEO'S IMMUNO SOY MILK 1L,4.90
YEO'S IMMUNO SOY CHOCOLATE 1L,4.90
IDEAL FULL CREAM EVAPORATED MILK 390G,4.90
POKKA MELON MILK 1L,4.90
POKKA MANGO MILK 1L,4.90
DRINHO MANGO DRINK 250MLX6,4.90
DRINHO SOYA BEAN 250MLX6,4.90
DRINHO SUGARCANE 250MLX6,4.90
DRINHO ICE PEACH TEA 250ML X 6,4.90
DRINHO CHRYSANTHEMUM TEA 250MLX6,4.90
DRINHO WINTER MELON 250MLX6,4.90
DRINHO ORANGE 250MLX6,4.90
DRINHO LYCHEE 250MLX6,4.90
AHMAD TEA JASMINE GREEN TEA 25S,4.99
LOTUSS NON-DAIRY CREAMER 450G,4.99
LOTUSS DRINKING WATER 5.5L,4.99
PRAN MANGO JUICE PET 1L,4.99
PRAN APPLE JUICE PET 1L,4.99
DUTCH LADY UHT MILKY MARVEL FULL CREAM 125MLX4,4.99
HOMESOY MULTIGRAIN 1L,4.99
DUTCH LADY UHT MILKY FROZEN STRAWBERRY 125MLX4,4.99
LOTUSS FULL CREAM MILK UHT 1L,4.99
LOTUSS CHOCOLATE MILK UHT 1L,4.99
DUTCH LADY UHT MILKY FROZEN STRAWBERRY 125MLX4,4.99
DL UHT MILKY MARVEL CHOCOLATE 125MLX4,4.99
DL UHT MILKY MARVEL STRAWBERRY 125MLX4,4.99
LOTUSS FULL CREAM MILK UHT 1L,4.99
LOTUSS CHOCOLATE MILK UHT 1L,4.99
LOTUSS STRAWBERRY MILK UHT 1L,4.99
YEOS SOYA BEAN 250MLX6,5.15
YEOS C/THEMUM TEA 250MLX6,5.15
YEOS LYCHEE 250MLX6,5.15
LIPTON SERVICES TEABAGS 25S,5.24
F&N SWEETENED CONDENSED FILLED MILK 500G,5.25
MILO SOFTPACK 200G,5.29
BOH POTBAGS 40S,5.30
LOTUSS DRINKING WATER 1.5LX6,5.39
MONSTER ENERGY 355ML,5.49
MONSTER ULTRA 355ML,5.49
MONSTER PIPELINE PUNCH 355ML,5.49
LOTUSS MINERAL WATER 5.5L,5.49
POKKA ROASTED JAPANESE TEA HOUJICHA 1.5L,5.50
POKKA ICE PASSION FRUIT 1.5L,5.50
POKKA SENCHA 1.5L,5.50
POKKA LMN TEA 1.5L,5.50
POKKA CHRYSANTHEMUM WHITE TEA BTL 1.5L,5.50
LOTUSS DRINKING WATER 500ML X 12,5.59
AHMAD TEA LONDON BLEND 25S,5.60
YEOS FIRST HARVEST GREEN TEA 1.5L,5.60
V-SOY MULTIGRAIN NO SUGAR ADDED UHT 1L,5.65
NONA GINGER HONEY PWD BOX 150G,5.65
V-SOY LOW SUGAR UHT1L,5.65
V-SOY GOLDEN GRAIN SOYA BEAN MILK UHT 1L,5.65
V-SOY GOLDEN GRAIN SOYA BEAN MILK UHT 1L,5.65
V-SOY MULTI GRAIN S/BEAN UHT 1L,5.65
HERHSEY SOYFRESH CHOCOLATE 946ML,5.69
HERSHEY SOYFRESH MOCHA 946ML,5.69
HERSHEY SOYFRESH COOKIE N CREME 946ML,5.69
AUTHENTIC TEA HOUSE OOLONG TEA 1.5L,5.70
MARIGOLD UHT MANGO DRINK 250MLX6,5.75
M/GOLD UHT ORANGE 250MLX6,5.75
UNIF ALL YOU NEED 100% VEGETABLE AND FRUIT JUICE WITH CARROT 180MLX3,5.79
UNIF ALL YOU NEED 100% VEGETABLE AND FRUIT JUICE WITH GREEN VEGETABLE 180MLX3,5.79
UNIF ALL YOU NEED 100% VEGETABLE AND FRUIT JUICE WITH MIX BERRY 180MLX3,5.79
UNIF ALL YOU NEED 100% VEGETABLE AND FRUIT JUICE 180MLX3,5.79
UNIF ALL YOU NEED 100% VEGETABLE AND FRUIT JUICE WITH CARROT 180MLX3,5.79
UNIF ALL YOU NEED 100% VEGETABLE AND FRUIT JUICE LYCHEE 180MLX3,5.79
UNIF ALL YOU NEED 100% VEGETABLE AND FRUIT JUICE WITH PASSION FRUIT 180MLX3,5.79
POKKA ICE STRAWBERRY TEA 1.5L,5.80
NESTLE COFFEEMATE DOY 200G,5.85
YARRA FULL CREAM MILK UHT 1L,5.89
YARRA CHOCOLATE MILK UHT 1L,5.89
YARRA STRAWBERRY MILK UHT 1L,5.89
DUTCH LADY UHT STRAWBERRY MILK 1L,5.89
DUTCH LADY UHT CHOCOLATE MILK 1L,5.89
DUTCH LADY UHT LOW FAT MILK 1L,5.89
DUTCH LADY FULL CREAM UHT MILK 1L,5.89
V-SOY MULTI GRAIN SOYBEAN MILK 200MLX4,5.90
PRAN PINEAPPLE JUICE 1L,5.90
YEOS ICE TEA LEMON 250MLX6,5.90
GOODDAY FULL CREAM UHT MILK 1L,5.95
GOODDAY UHT MILK CHOCOLATE 1L,5.95
FUZE TEA MANGO CHAMOMILE 1.5L,5.99
AHMAD TEA GREEN TEA 25S,5.99
AHMAD TEA EARL GREY 25S,5.99
SUPER CLASS INS 45GX24 MY,5.99
SUNQUICK STANDARD ORANGE 300ML,5.99
SUNQUICK STANDARD MANGO 300ML,5.99
SUNQUICK STANDARD MANDARIN 300ML,5.99
SUNQUICK STANDARD BLACKCURRANT 300ML,5.99
SUNQUICK STANDARD TROPICAL 300ML,5.99
MILO READY TO DRINK 1L,5.99
DRINHO CORN SOYA MILK 250MLX6,6.09
F&N CONDENSED FULL CREAM MILK 392G,6.10
LIPTON POTBAGS P40,6.19
LIPTON POTBAGS EXTRA STRONG P40,6.19
FN SEASONS ICE LEMON TEA 250MLX6,6.20
F&N SEASONS SOYA BEAN 250MLX6,6.20
100PLUS ACTIVE REPLENISH 300MLX4,6.20
FN SEASONS CHRYSTHEMUM 250MLX6,6.20
AHMAD TEA CEYLON 25S,6.35
LOTUSS MINERAL WATER 1.5LX6,6.39
V-SOY ORIGINAL NO SUGAR ADDED SOYA BEAN MILK DRINK 200ML X 4,6.40
POKKA JASMINE GREEN TEA NO SUGAR 1.5L,6.40
POKKA JASMINE GREEN TEA 1.5L,6.40
POKKA OOLONG TEA 1.5L,6.40
D/LADY UHT COOKIES CREAM 180MLX4,6.45
D/LADY UHT VANILLA ICE CREAM 180MLX4,6.45
YEOS WINTER MELON TEA 250MLX6,6.45
YEOS SUGAR CANE 250MLX6,6.45
NESCAFE CLASSIC REFILL PACK 50G,6.45
LIPTON PACKET TEA 200G,6.49
HOMESOY SOYA MILK 250MLX6,6.49
HOMESOY BROWN SUGAR 250MLX6,6.49
HOMESOY HONEY MELON 6X250ML,6.49
HOMESOY NO SUGAR ADDED 250MLX6,6.49
FARM FRESH UHT SOY MILK ORI 1L,6.50
CACTUS MINERAL WATER 350MLX12,6.50
PEPSI BLACK CAN 4 X 320ML,6.59
GOODDAY UHT MILK STRAWBERRY 1L,6.60
GOODDAY UHT MILK LOW FAT 1L,6.60
KARTA COCONUT WATER ORIGINAL 1L,6.75
7UP 320MLX4,6.79
FARM FRESH UHT SOY MILK ORI 200MLX4,6.80
FARM FRESH UHT CHOC MILK WT SOY 200MLX4,6.80
YARRA FULL CREAM MILK UHT 200MLX4,6.80
YARRA CHOCOLATE MILK UHT 200MLX4,6.80
YARRA STRAWBERRY MILK UHT 200MLX4,6.80
YEOS FIRST HARVEST GREEN TEA 250MLX6,6.90
FARM FRESH UHT CHOCOLATE MILK 1L,6.90
POKKA CHRYSANTHEMUM WHITE TEA 6X250ML,6.90
MARIGOLD UHT APPLE DRINK 250MLX6,6.95
M/GOLD UHT GRAPE 250MLX6,6.95
SPRITE ZERO 320ML 4S,6.95
SPRITE LEMON PLUS ZERO SUGAR 320ML 4S,6.95
COCA COLA RASA ASLI 320MLX4,6.95
SPRITE CAN 320MLX4,6.95
COKE ZERO 320MLX4,6.95
LOTUS'S KOPI-O WITHOUT SUGAR 20SX10G,6.99
DESA DRINKING WATER 5.5L,6.99
PEPSI COLA 320MLX4,6.99
AIK CHEONG COFFEE BAG 10GX20,6.99
AIK CHEONG COFFEE BAG 18GX12,6.99
KLUANG CAP TV KOPIO KOSONG 20SX10GM,7.20
CACTUS MINERAL WATER 5.5L,7.20
MARIGOLD LOW FAT UHT MILK 1L,7.25
MARIGOLD CHOCOLATE UHT MILK 1L,7.25
MARIGOLD FULL CREAM UHT MILK 1L,7.25
ANLENE UHT LOW FAT 1L,7.25
MARIGOLD 100% PURPLE VEGGIE JUICE 1L,7.25
MARIGOLD TROPICAL FRT 100% JUICE 1L,7.25
MARIGOLD UHT 100% ORANGE JUICE 1L,7.25
MARIGOLD UHT 100% APP JUICE 1L,7.25
MARIGOLD UHT 100% CARROT MIX JUICE 1L,7.25
MARIGOLD UHT PEAR MIXBERRIES JUICE 1L,7.25
YEOS B.SUGAR SOY 250MLX6,7.29
ANLENE UHT LOW FAT 4X180ML,7.40
ANLENE UHT CHOC 4X180ML,7.40
POKKA NATSBEE HONEY LEMON 1.5L,7.50
NUTRIGOLD CHOCOLATE MALT DRINK 400G,7.59
LOTUSS KOPI-O WITH SUGAR 20SX15G,7.65
POKKA NATSBEE HONEY YUZU 1.5L,7.66
ALPINE MINERAL WATER 5.5L,7.80
NESCAFE CLASSIC JAR 50G,7.85
POKKA OOLONG TEA 250MLX6,7.85
POKKA JASMINE GREEN TEA 250MLX6,7.85
MOSHA CHOCOLATE MALT 3 IN 1 33GX10S,7.89
OVALTINE 340G ORIGINAL TASTE,7.90
SPRITZER NATURAL MINERAL WATER 6 LITER,7.90
SUPER CLASSIC INS 80GX24 MY,7.99
UNIF ALL YOU NEED 100% VEGETABLE AND FRUIT JUICE WITH CARROT 1L,7.99
UNIF ALL YOU NEED 100% VEGETABLE AND FRUIT JUICE WITH MIX BERRY 1L,7.99
UNIF ALL YOU NEED 100% VEGETABLE AND FRUIT JUICE WITH GREEN VEGETABLE 1L,7.99
UNIF ALL YOU NEED 100% VEGETABLE AND FRUIT JUICE WITH CARROT 1L,7.99
LOTUSS MALTED DRINK 400G,8.19
THREE LEGS COOLING WATER 200MLX6,8.19
EVIAN NOMAD MINERAL WATER 750ML,8.20
UNIF ALL YOU NEED 100% VEGETABLE AND FRUIT JUICE WITH CARROT 200MLX3,8.29
UNIF ALL YOU NEED 100% VEGETABLE AND FRUIT JUICE WITH MIX BERRY 200MLX3,8.29
UNIF ALL YOU NEED 100% VEGETABLE AND FRUIT JUICE WITH GREEN VEGETABLE 200MLX3,8.29
UNIF ALL YOU NEED 100% VEGETABLE AND FRUIT JUICE WITH BEETROOT 200MLX3,8.29
ATH AYATAKA GREEN TEA 300MLX4S,8.50
VALUE INSTANT COFFEE 200G,8.59
UFC VELVET COCONUT MILK UNSWEETENED 1L,8.59
UFC VELVET COCONUT MILK ORIGINAL 1L,8.59
UNIF COCO DEE COCONUT WATER 1L,8.59
RIBENA REGULAR 200MLX6,8.60
CACTUS MINERAL WATER 500MLX12,8.75
BOH TEA POTBAGS 80S,8.79
